compound,CmpdID,Pathway,parent,medRt,C_D0,C_D7,C_D14,C_D21,C_D28,C_D35,C_D42,G1_D0,G3_D0,G4_D0,G5_D0,G6_D0,G7_D0,G1_D7,G3_D7,G4_D7,G5_D7,G6_D7,G7_D7,G1_D14,G3_D14,G4_D14,G5_D14,G6_D14,G7_D14,G1_D21,G3_D21,G4_D21,G5_D21,G6_D21,G7_D21,G1_D28,G3_D28,G4_D28,G5_D28,G6_D28,G7_D28,G1_D35,G3_D35,G4_D35,G5_D35,G6_D35,G7_D35,G1_D42,G3_D42,G4_D42,G5_D42,G6_D42,G7_D42,Median Ctrl day 0,Median D0,Median D7,Median D14,Median D21,Median D28,Median D35,Median D42,FC42/0 ,pvalue
Octadecenoic acid,C00712,Monounsaturated Fatty Acids,281.2482,6.272201,11087.23,151790.4,284854.1,349897.1,229249.3,298230.9,356102.5,282216.3,292664,391259.2,504378.1,181151.4,311227.8,406880.6,493342.5,471074.9,406247.2,85420.77,238129.8,462756.4,468698.6,486074.8,516722.2,346006.8,623380.4,615437.7,582763.9,621797.3,708495,498433,267400.5,435430.7,401485.5,482854.8,591275.6,300147.2,505568.8,546423.2,615130.2,690081.2,848799.8,398255.6,687023.2,662314.4,679245.2,772831,885347.9,411869.8,748084.4,11087.23,301945.9,406563.9,477386.7,5.99E+05,459142.75,651076.7,7.14E+05,2.36E+00,5.11E-05
Linoleate,C01595,Poly-unsaturated Fatty Acids,279.2326,6.170479,80167.38,77180.63,160248.2,171712.5,124169.8,137884,159081.2,40746.36,86742.27,120035.7,100371.7,93262.68,127916,172958.9,166652.6,170804.2,98281.87,48725.85,113284,208849.9,170420.2,184637.4,112221,183232.3,217738.2,233015.7,195216.6,219278.5,157231.7,183233.5,156571.3,187297.8,139559.3,186348,128833.9,151245.8,175746.6,185170.3,206609,210466.8,163247.8,177871.2,203396,206050.7,198996,205656.3,172191.4,183533.9,203436.5,80167.38,96817.19,139968.3,183934.85,1.89E+05,163496.2,194283.15,2.01E+05,2.08E+00,0.000906782
Octadecatrienoic acid,C06427,Poly-unsaturated Fatty Acids,277.2169,6.10693,1807.412,2179.193,7532.697,9246.118,9842.251,9468.695,11656.03,3145.69,0,1724.523,1695.599,1544.48,1196.378,2911.79,1484.388,5365.945,4249.947,883.0356,4889.776,5428.577,4257.205,9687.75,7242.424,4746.245,4284.728,6050.701,5743.283,13607.57,6580.27,6525.534,4707.336,4745.684,5835.393,14087,6184.225,5068.342,4434.243,5878.041,7023.502,14613.64,6232.085,5355.809,5798.913,7230.353,6932.971,12476.08,6807.9,4283.603,6397.701,1807.412,1620.0395,3580.8685,5087.411,6.29E+03,5451.8675,6055.063,6.87E+03,4.24E+00,0.003789978
Icosatetraenoic acid,C00219,Poly-unsaturated Fatty Acids,303.2326,6.163574,35699.77,30551.26,84213.46,110178.6,108984.9,142577.3,162193.5,39788.05,23349.14,33536.74,23710.24,26871.44,24569.71,29333.27,27197.21,51787.06,28973.1,23788.2,28808.19,44646.19,43664.11,70245.98,53821.38,72817.78,55592.35,57540.19,66346.59,96693.84,82952.46,53753.31,83255.49,49224.53,55226.17,100366.3,82362.31,94316.41,59192.42,66878.82,98755.09,128478.9,111430.2,117978.8,67669.05,74660.9,100842.9,114385,126916.3,126126.3,74961.06,35699.77,25720.575,28890.645,54706.865,7.46E+04,70777.365,105092.645,1.08E+05,4.18E+00,0.00108204
Icosapentaenoic acid,C06428,Poly-unsaturated Fatty Acids,301.217,6.105457,2702.72,799.1821,6821.918,6484.068,7391.35,8013.977,10799.25,2294.378,0,1069.156,0,0,0,0,1083.453,1426.848,1699.738,1393.441,604.4938,1726.605,2688.541,4849.256,5725.167,1011.641,491.4113,1893.809,3506.149,4158.934,7759.53,2141.504,1663.458,2605.771,3868.109,6574.406,6799.986,1505.516,679.2245,3107.583,4799.248,6488.833,7325.583,2971.407,2273.741,3010.635,5657.332,7771.371,8738.248,5230.858,2445.079,2702.72,0,1238.447,2207.573,2.82E+03,3236.94,3953.4155,5.44E+03,#ΔΙΑΙΡ/0!,0.00895811
Docosahexaenoic acid,C06429,Poly-unsaturated Fatty Acids,327.2326,6.423869,4607.851,1370.671,2921.518,3065.376,2360.934,2353.285,1166.618,368933.6,2124.306,3455.388,1771.479,2137.455,1409.369,1715.142,1109.757,1609.592,9402.812,5905.889,7749.449,4382.527,3755.813,3179.987,2477.812,1152.118,2438.648,980.5107,2593.289,2567.188,2457.104,2561.28,3890.928,1111.976,0,2329.2,1211.445,2675.741,0,2323.847,720.4841,1634.76,582.3469,1682.938,966.4164,1353.359,1548.97,477.324,1253.217,0,2043.584,4607.851,2130.8805,3810.5155,2828.8995,2.56E+03,1161.7105,1300.5882,1.30E+03,6.12E-01,0.355286081
Dodecanedioic acid,C02678,Poly-unsaturated Fatty Acids,229.1438,6.2197,48469.99,27286.1,29311.41,21850.77,24032.47,19669.85,19742.87,37782.33,38812.2,42310.16,41240.67,18995.56,35804.56,36117.2,34630.12,23349.37,39015.96,21380.67,40858.24,28574.05,20074.35,18911.98,24487.43,25950.32,23073.84,22599.26,16436.72,22347.66,24526.59,19312.91,22632.07,22119.33,20282.87,14562.25,22377.88,19525.96,18060.42,17687.51,17644.71,13563.61,19513.73,20367.12,15869.75,16432.54,18094.77,15047.52,17122.04,15506.69,16077.19,48469.99,38297.265,35373.66,23780.635,2.25E+04,19904.415,17666.11,1.63E+04,4.24E-01,0.002229103
(8Z-11Z-14Z)-Icosatrienoic acid,C03242,Essential fatty acids,305.2483,6.239744,8576.266,10064.61,24312.23,38435.64,24740.31,37887.39,49633.71,7493.663,4462.141,3963.81,8437.148,6585.397,10749.45,11421.39,10834.19,17801.81,11726.82,2111.824,14462.64,20029.72,14221.11,20918.57,17506.78,17076.99,23265.93,24226.12,20298.16,31274.59,23695.44,27964.11,15712.75,18076.29,17485.93,28872.02,21894.13,19906.79,27658.97,22451.03,28449.03,39356.94,36179.54,25010.07,36437.27,30016.92,35327.03,41724.38,41401.15,29828.19,37905.67,8576.266,7039.53,11574.105,18768.25,2.40E+04,20900.46,32314.285,3.66E+04,5.20E+00,6.91E-05
(7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid,C16513,Essential fatty acids,329.2486,6.184966,1548.825,929.6644,6720.278,5453.079,4149.052,6884.315,7377.717,0,0,0,0,0,875.4901,1210.375,835.0827,1992.22,732.1804,0,794.9118,1903.873,1683.731,2055.199,1278.581,2020.362,615.4691,2259.471,3797.127,6614.5,3591.803,601.654,2307.556,1602.837,2115.326,5424.369,4097.507,1982.337,574.8209,3839.219,7483.078,8697.108,7504.57,2680.885,2447.926,4940.146,6550.797,5369.56,5100.696,2683.671,3138.137,1548.825,0,814.99725,1793.802,2.95E+03,2048.8315,5661.1485,5.02E+03,#ΔΙΑΙΡ/0!,0.001194162
alhpa-tocopheronolactone,LMPR02020063,oxi-Lipids,277.1439,7.053586,4846033,4947512,17576700,22155510,34205310,37019150,42908260,2207496,1639501,1944163,1574233,389231.1,1365693,6153386,3587705,4263144,17022430,2853936,31202150,13289250,8083432,8525671,10241410,7107682,9751352,18308560,14414870,14491630,18138300,22391550,18467980,33808210,23530720,19930990,20663100,12657130,13520640,24342240,16735640,18083190,21789050,15901430,21055510,33722640,26633070,21593200,22213900,23384230,25339110,4846033,1606867,5208265,9138511.5,1.82E+07,20297045,19569350,2.44E+07,1.52E+01,3.42E-05
