compound,CmpdID,Pathway,parent,medRt,C_D0,C_D7,C_D14,C_D21,C_D28,C_D35,C_D42,G1_D0,G3_D0,G4_D0,G5_D0,G6_D0,G7_D0,G1_D7,G3_D7,G4_D7,G5_D7,G6_D7,G7_D7,G1_D14,G3_D14,G4_D14,G5_D14,G6_D14,G7_D14,G1_D21,G3_D21,G4_D21,G5_D21,G6_D21,G7_D21,G1_D28,G3_D28,G4_D28,G5_D28,G6_D28,G7_D28,G1_D35,G3_D35,G4_D35,G5_D35,G6_D35,G7_D35,G1_D42,G3_D42,G4_D42,G5_D42,G6_D42,G7_D42,Median Ctrl day 0,Median D0,Median D7,Median D14,Median D21,Median D28,Median D35,Median D42,FC42/0 ,pvalue
Tripeptide,C00316,Other/Tentative assignments,187.0572,1.19197,1201352,1108731,1145629,1798802,1539670,1647013,1618186,1035570,978477.2,981530.7,1052603,906942.3,1050152,1023746,876312.3,952907.8,991199.9,897999.3,1200120,1046733,1076195,1126030,1003391,1110276,1204831,1895240,1616874,1601621,1712008,1531878,1411821,1434972,1516344,1529978,1484079,1396850,1482985,1387467,1401187,1525800,1417186,1295977,1511069,1432562,1478020,1458223,1206765,1303335,1326182,1201352,1008550.35,972053.85,1093235.5,1.61E+06,1483532,1409186.5,1.38E+06,1.37E+00,0.000985723
Maleamate,C01596,Other/Tentative assignments,116.0342,1.412715,379472.3,335395.5,234186.3,269461.5,266171.9,211619.5,217952.8,590125.7,486237,0,548657.6,190093.3,200063.1,282130.2,280907.2,345598,349030.6,203625.6,146242,290710.9,307136,421294,370567.1,219776.7,146899.9,319885.7,376598.2,350244.9,455378.5,230429.3,303908.3,327109.8,312842.8,357646.7,308369.8,228015.4,162827.9,336254.3,309279.2,296894.1,332480.6,226538.9,151708.2,264936.2,260557.3,274835.6,351135.9,151144.3,133227.1,379472.3,343150.05,281518.7,298923.45,3.35E+05,310606.3,303086.65,2.63E+05,7.66E-01,0.311949246
S-Ribosyl-L-homocysteine,C03539,Other/Tentative assignments,268.0847,1.294885,95602.63,91316.7,9259.707,30613.32,58346.04,62498.97,32266.24,33104.63,84949.4,14738.88,16401.98,45202.3,59334.73,33537.82,41705.12,20086.24,13522.64,67798.35,31419.97,0,34208.61,5571.576,6293.02,30871.37,32636.16,33736.58,51327.59,9812.044,8080.672,23130.53,54407.02,25074.17,49064.32,6458.154,17089.82,17412.34,11980.43,20332.4,23438.02,7250.656,16689.29,16354.71,11471.08,8623.008,32907.77,0,8311.69,13464.04,9782.574,95602.63,39153.465,32478.895,18582.195,2.84E+04,17251.08,16522,9.20E+03,2.35E-01,0.009317561
Ergothioneine,C05570,Other/Tentative assignments,229.0885,5.759732,27772.2,25241.76,21131.18,28271.47,38042.25,47896.4,54200.29,26712.6,25576.26,25472.23,24369.18,25465.53,26869.86,24462.15,20821.18,26382.26,23016.95,19946.34,22999.81,20805.67,20042.49,18252,16207.86,20007.13,16332.1,11990.89,16239.72,15978.47,16873.06,13367.88,11079.15,13757.46,13311.74,13688.77,11631.52,28403.11,14708.08,12038.4,12017.82,13441.52,11980.19,29357.91,12545.02,11418.71,11834.97,11691.48,12854.51,37847.49,12094.35,27772.2,25524.245,23008.38,19129.565,1.47E+04,13723.115,12291.71,1.20E+04,4.69E-01,0.084346358
Sodium glucuronate,C13085,Other/Tentative assignments,215.0136,1.621408,167304.8,222849.7,364047,303997.3,232571.3,195070.6,137998.5,118133.8,154603.5,284826.8,349099.8,222171.3,389814.9,338731.6,433005.8,437881.2,419010.9,407029.4,436446.2,375375.5,348866.3,373095.9,369422.2,339679.4,317697.4,260981.8,289669.6,271059.9,290744.5,248572.5,242514.3,231106.3,253805.2,213808.2,233727.5,180047,206192.9,138966.8,165898.9,184738.9,143428.8,135808.5,139347.3,110995.9,119057.5,96891.06,103814.7,102894,89185.44,167304.8,253499.05,426008.35,359144.25,2.66E+05,222457.25,141388.05,1.03E+05,4.08E-01,0.02555422
6-Thioxanthine 5--monophosphate,C16618,Other/Tentative assignments,381.0221,1.073423,18588.36,12944.27,18554.48,19591.43,23102.06,25968.42,22042.73,15746.56,8988.641,21300.88,20279.7,2791.892,12411.57,11525.24,18901.97,12168.55,4906.676,13407.29,23952.87,15496.11,15672.92,17122.6,13251.1,16743.3,23153.79,16644.66,9161.466,22816.02,6849.512,15014.29,4367.272,17387.28,17030.5,22103.87,22352.56,6877.027,17016.24,20151.74,13052.73,18709.23,14085.66,2175.3,14551.24,14829.64,9294.916,25815.61,10135.09,3743.11,16614.62,18588.36,14079.065,12787.92,16208.11,1.21E+04,17208.89,14318.45,1.25E+04,8.87E-01,0.937043399
Deoxyribose triphosphate,C12347,Other/Tentative assignments,372.9484,1.069618,3770.01,3247.995,5530.184,4106.965,1279.657,968.7141,743.3809,1655.604,1474.952,1979.988,1389.134,1515.051,3252.12,3044.593,2072.907,3821.694,2979.909,1687.646,4941.208,1469.953,3763.501,3850.198,3033.446,806.8455,4084.942,1839.547,2621.591,2446.173,1141.618,1249.093,1181.391,2326.497,1908.023,1896.085,1983.038,1269.823,739.4961,2090.854,748.9411,1880.074,692.2173,782.418,1983.589,1850.367,862.8093,905.6257,1134.713,511.636,416.9419,3770.01,1585.3275,3012.251,3398.4735,1.54E+03,1902.054,1331.246,8.84E+02,5.58E-01,0.081304327
D-Ribitol 5-phosphate,C01068,Other/Tentative assignments,231.0299,1.245954,214937.8,314139.8,760292.7,488513.1,349190.5,458560.2,293127.1,154219.5,155778.1,231515.6,189250,360467.9,160415.5,448499.8,329135.3,250488.6,337921.9,508981.1,53927.71,437722.5,363750.1,162393.9,285352.6,623550.7,162378.3,344057,269613.6,234684,125429.4,189365.3,462424.8,346952.1,180568.8,115999.6,213592.5,530952.9,110894.7,245165.5,214008.6,112825.6,110521.2,547437.2,89405.18,202979.8,185989.3,39101.12,105576.7,493759.9,108282.1,214937.8,174832.75,333528.6,324551.35,2.52E+05,197080.65,163417.1,1.47E+05,8.42E-01,0.696430342
Riboflavin,C00255,Other/Tentative assignments,316.9805,1.388059,22413.5,17515.64,68439.54,46290.84,0,18673.73,35848.6,155278.6,142015.5,98440.62,136836.8,66249.61,236488.2,76744.8,88904.81,86926.16,220086.2,127146.7,168374.3,270253.1,106836.5,0,138803.8,84326.53,46724.92,232921.1,135710.3,96716.91,88848.38,206299.4,106829.8,0,146967,77533.6,169147.4,64768.57,161648.2,227486.8,97944.68,91086.18,138834.6,33064.42,185875.1,237412.2,61165.4,156986.6,96302.46,49755.23,179833.7,22413.5,139426.15,108025.755,95581.515,1.21E+05,112250.3,118389.64,1.27E+05,9.08E-01,0.750199357
fe(III)dicitrate,C06229,Other/Tentative assignments,389.0972,5.873768,17370.11,9173.858,5700.693,4536.535,4055.911,5089.439,3451.092,26132.57,13457.54,12722.31,15255.39,13710.53,9757.352,10109.4,8237.495,10747.78,8041.842,4684.654,5470.552,6699.369,5485.617,5070.598,5386.57,4562.551,4077.091,5240.714,5286.039,5766.302,3359.549,5003.242,2345.389,5772.166,5142.077,2935.782,4739.642,2872.77,2582.417,4421.56,3851.495,4091.596,3766.711,2103.111,4963.261,4733.462,4832.47,3256.75,4820.937,1990.766,3093.976,17370.11,13584.035,8139.6685,5228.584,5.12E+03,3837.712,3971.5455,4.00E+03,2.94E-01,0.003017523
Glucosinolate,C17260,Other/Tentative assignments,316.9808,1.31306,34690.25,41760.37,23123.95,13226.38,31788.4,19751.59,13941.83,146805.9,99105.45,113207,128942.8,75913.9,103914.5,114268.6,106544.3,92318.77,138245.5,0,78476.41,123055.6,67243.38,72493.02,81457.87,45982.48,21980.63,87243.71,18770.72,42803.41,81854.97,32711.98,23867.52,73311.2,21198.43,46305.41,51602.31,29444.17,41511.14,77454.44,22675.83,51221.21,47193.54,20203.1,62597.8,56810.12,33744.05,28576.38,28895.62,15302.25,28295.37,34690.25,108560.75,99431.535,69868.2,3.78E+04,43908.275,49207.375,2.87E+04,2.65E-01,4.93E-05
Succinyl sulfathiazole,C11745,Other/Tentative assignments,356.0404,1.200052,22209.59,17318.11,14945.66,40058.76,34815.78,16066.64,13477.42,28330.05,13522.03,33646.34,11697.44,8664.932,10867.78,19621.34,19232.23,38209.37,31561.4,0,43493.6,10366.38,21747.84,9989.366,17851.37,0,38588.93,16101.28,15169.41,34464.38,22329.26,36769.29,10042.34,60370.15,37127.19,22498.77,8699.35,7867.832,37383.75,42642.96,12899.02,25938.79,22495.8,17732.61,52978.11,56588.29,57445.52,51979.99,33825.72,10676.21,57022.86,22209.59,12609.735,25591.37,14108.875,1.92E+04,29812.98,24217.295,5.43E+04,4.30E+00,0.010800554
D-Ribose 5-diphosphate,C01095,Other/Tentative assignments,308.9777,1.560411,0,7174.486,0,0,0,7268,7801.623,0,6734.616,0,6935.313,7143.226,0,0,0,9328.813,0,0,0,9640.047,0,12285.21,0,6437.517,7516.434,12966.55,6608.709,7202.872,12981.22,6763.245,18616.17,14694.16,10655.09,5081.567,6525.9,9887.3,14070.7,31169.74,9983.43,6857.45,5988.171,16966.74,0,15297.33,23358.56,9300.29,25472.45,18811.08,6709.037,0,3367.308,0,6976.9755,1.01E+04,10271.195,8420.44,1.71E+04,5.06E+00,0.000922379
Thioredoxin disulfide,C00343,Other/Tentative assignments,315.0179,0.9547566,0,0,16921.27,36271.74,34676.99,50333.92,60579.67,0,0,0,0,0,0,0,1875.053,3854.487,7122.107,10927.49,13351.38,15995.52,23476.47,17404.83,30713.34,29855.45,30572.1,31059.12,47362.09,41107.28,44431.84,45600.11,46958.99,46326.42,57796.68,60947.71,45830.66,47281.84,46138.23,49122.93,77833.11,53636.9,55039.71,67030.03,46925.48,59720.23,65439.97,56937.72,38742.55,76608.69,47188.52,0,0,5488.297,26665.96,4.50E+04,46804.13,54338.305,5.83E+04,#ΔΙΑΙΡ/0!,0.000132989
alpha-N-Peptidyl-L-glutamate,C03904,Other/Tentative assignments,314.0914,1.212755,24685.18,126802.7,26072.45,68716.34,107647.9,72996.2,138165,18172.21,0,0,0,0,0,22136.4,0,11795.3,0,15259.84,19591.13,0,0,0,0,38480.77,14906.66,0,14798.4,0,0,0,34675.34,0,0,0,0,26858.2,0,13895.23,0,0,0,19848.66,0,0,0,0,0,30411.35,0,24685.18,0,13527.57,0,0.00E+00,0,0,0.00E+00,#ΔΙΑΙΡ/0!,0.762938815
D-Alanyl-alanyl-poly(glycerolphosphate),C04457,Other/Tentative assignments,313.0788,1.677325,59420.88,25510.1,14052.91,20502.38,8944.679,13688.58,6172.885,53920.9,46730.1,40023.73,36140.98,52676.85,47709.07,32007.9,32147.81,0,32631.56,19460.15,30943.55,17932.96,14736.11,32016.05,13004.11,10557.83,27798.4,18380.1,10909.79,18876.2,7726.548,21424.97,18971.57,9483.118,10441.29,9410.847,14191.43,19907.8,17644.44,15627.61,18098.36,9713.926,8488.858,8728.237,16637.77,8541.015,7764.864,11130.2,7009.609,9446.065,13171.11,59420.88,47219.585,31475.725,16334.535,1.86E+04,12316.36,12670.768,8.99E+03,1.90E-01,5.16E-05
alpha-N-Peptidyl-L-glutamine,C03905,Other/Tentative assignments,315.1192,1.252324,0,0,6272.625,22948.15,18780.6,6858.424,32711.31,0,0,0,0,0,0,0,0,0,11099.41,0,8311.141,0,0,6811.002,8085.314,0,0,8358.197,21135.31,18580.63,0,21313.18,43148.71,21231.79,15525.17,17917.45,23404.24,31673.77,29739,11196.22,15455.63,30831.63,0,19660.35,12754.61,33381.66,15916.38,31037.79,31998.04,36848.45,26805.53,0,0,0,0,1.99E+04,22318.015,14105.12,3.15E+04,#ΔΙΑΙΡ/0!,0.000189224
S-Acylglutathione,C02589,Other/Tentative assignments,333.0589,1.586173,3461.318,2330.831,2424.395,2775.786,5349.849,1749.238,3171.25,2282.447,2601.687,5716.756,3043.852,2199.988,2840.402,2622.57,4486.851,2642.879,2386.737,6039.129,0,1902.812,4546.089,2485.207,3644.594,1684.024,3694.387,1713.862,3181.33,4752.702,3031.608,1810.449,1924.505,3394.462,1781.63,4360.409,3278.377,1888.986,1831.137,1918.452,2219.992,3311.005,5038.525,3497.729,1405.526,1474.547,2454.617,3456.671,1825.935,3458.034,1472.646,3461.318,2721.0445,2632.7245,3064.9005,2.48E+03,2583.6815,2765.4985,2.14E+03,7.87E-01,0.184907113
1-O-Galloyl-beta-D-glucose,C01158,Other/Tentative assignments,331.0644,5.726775,587.2832,1478.207,506.1773,1103.869,875.4601,1514.662,611.2469,1052.871,707.6987,947.811,910.0464,812.0835,1183.686,1452.808,778.6085,654.1303,649.2903,2375.843,714.8672,879.3126,792.6494,1240.001,714.9429,557.5038,558.5586,539.4915,291.5924,341.8826,375.7594,421.9628,422.3639,469.5515,398.276,684.1361,339.507,905.9455,594.2615,802.7023,927.7502,569.7272,904.738,913.6146,360.258,639.5417,525.877,283.9041,453.0526,934.5117,292.5542,587.2832,928.9287,746.73785,753.79615,3.99E+02,531.9065,853.72015,4.89E+02,5.27E-01,0.035841909
Vanillate,C06672,Other/Tentative assignments,167.0383,1.548407,10044.34,19725.06,8365.211,0,0,0,0,9085.103,15242.66,22751.04,29185.21,0,8578.459,27825.3,10666.32,13310.76,23276.17,0,19649.17,0,0,0,7763.377,8764.067,6438.128,7959.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10044.34,12163.8815,16479.965,3219.064,0.00E+00,0,0,0.00E+00,0.00E+00,0.021995819
Pyridoxamine,C00534,Other/Tentative assignments,167.0814,5.719035,10755.78,8114.383,6232.863,7026.249,3867.521,4281.555,3226.362,9518.94,7631.791,12860.92,9340.692,10550.73,8138.074,9223.021,9527.089,9908.793,9032.886,8433.189,7861.273,6562.462,6413.18,8630.652,8276.839,6805.608,7508.421,5712.607,5572.311,5677.552,5725.014,4496.571,4657.298,5145.506,4394.903,4418.123,3070.226,3320.358,4482.539,4544.175,3410.586,3940.301,3373.697,3167.94,3547.979,4261.043,2164.51,2740.464,2039.126,4347.454,3116.343,10755.78,9429.816,9127.9535,7157.0145,5.62E+03,4406.513,3479.2825,2.93E+03,3.11E-01,0.000407249
9-Oxononanoic acid,C16322,Other/Tentative assignments,171.1015,5.953046,56243.94,43131.04,76902.94,67094.49,73418.84,70621.32,71077.63,47100.76,59769.03,56495.88,70409.12,43204.5,69590.01,53985.43,58897.34,57514.2,65227.79,28296.35,82760.99,71855.46,70046.44,65553.63,70970.12,65617.07,75203.9,59708.37,66269.27,71651.8,78278.77,76564.9,67454.59,53525.84,63509.97,75246.61,79282.09,69782.35,75379.41,58422.11,69689.6,68218.56,78252.72,68343.96,72809.54,60219.69,69987.93,69523.87,74011.79,71864.34,66681.7,56243.94,58132.455,58205.77,70508.28,6.96E+04,72514.48,69016.78,6.98E+04,1.20E+00,0.053528725
N-Amidino-L-aspartate,C03139,Other/Tentative assignments,176.0655,1.210164,1889203,1973904,1614100,1838144,1898204,2174683,1862444,1379351,1206674,1010230,901939.8,1314138,1301349,1271682,974521.7,963117.9,1078654,1283162,1375627,1039772,1028851,851137.8,770947.9,1203021,959014.7,1452446,1267033,1088052,1151563,1246435,1270738,1177928,1260422,1004494,1035624,1460665,1259397,1158739,825095.1,1008727,1227601,1193992,1054877,1158094,1042913,1016293,1078528,1028355,1257904,1889203,1254011.5,1175168,993932.85,1.26E+06,1218662.5,1106808,1.06E+06,8.46E-01,0.256307489
threo-3-Hydroxy-L-aspartate,C11511,Other/Tentative assignments,150.0381,1.461806,85971.95,42893.63,39441.04,18021.51,0,7013.72,7265.075,86515.04,67403.59,33149.69,68047.29,28997.56,66822.4,36458.08,33927.7,15589.82,24410.18,37408.46,36008.52,18059.42,4512.18,0,8076.558,6842.019,0,6495.078,8555.142,5999.632,0,3994.719,0,0,0,0,0,6191.931,0,0,0,0,0,0,0,0,0,0,0,4974.103,0,85971.95,67112.995,34968.11,5677.0995,5.00E+03,0,0,0.00E+00,0.00E+00,0.001968879
N-Acyl-D-glutamate,C06379,Other/Tentative assignments,175.047,1.221367,54137.35,36655.24,65464.25,68604.63,53161.06,57046.88,44611.59,17265.33,59334.91,91842.24,40763.68,18912.35,18594.95,28433.62,26168.1,52711.19,12399.85,0,0,7597.147,54224.39,77001.52,0,0,0,14678.61,53139.72,89541.25,11935.15,0,0,18617.55,29258.47,49696.77,19396.98,0,13815.94,26744.18,41337.05,72012.63,21667.4,0,0,6955.673,23329.98,31277.23,9307.435,0,0,54137.35,29838.015,19283.975,3798.5735,1.33E+04,19007.265,24205.79,8.13E+03,2.73E-01,0.010320637
Protein glutamine,C02583,Other/Tentative assignments,170.0559,5.694776,156465.5,136356.2,111978.1,92546.88,64256.11,55279.04,52886.12,145170.9,125000.4,136117.3,146795.4,143438.1,140643.9,138000.9,131063.2,133869.9,123383.1,110569.4,120337.7,103000.9,100971.1,99702.01,95011,100096.2,98758.5,89496.16,71532.23,75693.2,71959.18,69814.26,70003.09,67703.48,55566.17,56159.81,63350.72,57138.47,56512.86,56508.14,54465.39,56958.27,55124.93,56863,51043.19,51852.96,51545.58,51418.03,54092.23,48309.81,49766.07,156465.5,142041,127223.15,99899.105,7.17E+04,56825.665,55816.535,5.15E+04,3.62E-01,1.40E-06
Hydroxyacetone phosphate,C03505,Other/Tentative assignments,152.9946,1.532958,177784,202736.1,522420.2,469315.4,356138.7,266159,127845.1,272434.2,493034.4,454545.8,675691,297615.4,723381.5,545622.1,778851.8,619441.8,588507.1,592713.8,727729.2,474961.1,436716.2,485138.7,549014.4,463029.2,482771.8,382391,428517.3,339053.2,444923.4,379145.2,328281.7,234782.8,345567.3,324223,310388.6,303361.9,257217.7,159365.4,241428.5,244339.7,211615.5,153846.9,134026.9,140100.2,147679.7,122263.8,131115.5,115173.9,94219.1,177784,473790.1,606077.8,478866.45,3.81E+05,306875.25,185490.45,1.27E+05,2.67E-01,0.006246268
N-Acyl-D-aspartate,C06380,Other/Tentative assignments,161.0326,1.349933,43535.66,44333.62,9691.684,30644.38,9572.339,15659.54,33300.43,24061.95,11533.82,9434.663,16062.96,25780.17,17047.33,27304.73,13569.76,8951.134,19088.06,9442.55,39963.75,8892.809,10134.46,12422.73,21562.64,9835.724,32527.15,12097.56,13240.42,18291.52,8952.444,34426.15,11765.42,26163.34,8778.481,21127.06,36213.72,18978.67,52295.47,31129.05,9318.979,22587.26,19522.1,11760.27,20766.42,8645.101,15708.21,25684.68,41224.84,10540.83,9613.198,43535.66,16555.145,16328.91,11278.595,1.27E+04,23645.2,20144.26,1.31E+04,7.93E-01,0.863529851
6-Carboxyhexanoate,C02656,Other/Tentative assignments,159.0659,5.753353,91471.51,85096.8,67677.37,54764.67,47402.99,47744.69,44864.2,105274.3,86320.52,79584.45,85507.52,81978.93,84069.67,84780.59,81548.9,84975.38,74479.21,77134.16,70619.09,71119.02,58749.98,63212.21,62047.66,63475.5,60942.27,62200.19,53763.61,55723.36,53073.39,47094.8,51755.11,50329.2,50219.53,52608.41,50011.2,44905.19,50101.49,49001.07,45633.52,47170.56,46770.36,44167.21,47924.97,41225.18,46430.23,47127.68,41186.32,38771.48,43531.72,91471.51,84788.595,79341.53,62629.935,5.34E+04,50160.51,46970.46,4.24E+04,5.00E-01,0.000158517
N5-Methyl-L-glutamine,C03153,Other/Tentative assignments,159.0763,5.68674,15187.89,13900.38,11932.95,10426.35,6381.279,6215.221,3543.395,9318.501,9904.935,13181.04,14274.85,14016.13,11739.52,13118.85,12670.78,12041.32,15367.86,13892.07,12465.82,3951.529,10654.94,10020.03,11096.99,9181.025,9843.853,10167.16,8567.713,8774.365,7156.771,7948.59,6656.881,6434.842,6102.205,6160.062,5426.189,6736.668,5666.838,4074.302,5641.559,5064.642,3467.402,5857.611,5655.541,4981.173,3715.592,3674.005,3029.414,3563.029,3821.355,15187.89,12460.28,12894.815,9931.9415,8.26E+03,6131.1335,5353.1005,3.69E+03,2.97E-01,0.000606178
N-Acetylmethionine,C02712,Other/Tentative assignments,192.0657,5.920013,1290.494,40698.42,34673.82,44504.55,51957.18,2915.86,13496.02,2331.18,1108.985,1363.742,2813.921,1564.279,1415.333,2374.052,1766.746,1646.927,1384.308,1933.716,11519.65,11519.65,17833.7,15530.87,23126.14,19240.2,36337.88,72891.45,26958.35,43953.59,40326.3,9711.007,83805.72,23887.24,33104.15,40298.05,39288.16,25276.82,40479.01,20121.36,32208.61,18854.69,24711.86,28443.37,29896.86,32618.79,48933.14,22249.63,42973.59,22466.56,20009.07,19451.05,1489.806,1850.231,18536.95,4.21E+04,36196.155,26577.615,2.75E+04,1.85E+01,0.001724231
beta-D-Glucuronoside,C03033,Other/Tentative assignments,194.0405,0.9455987,58681.56,31054.6,30790.97,45325.56,38219.2,38801.5,31740.51,55072.19,77091.12,67968.66,53797.34,42453.37,52412.09,43472.54,49761.68,52790.73,44123.4,43032.39,36057.07,37260.43,35809.13,36779.84,31826.46,45772.93,34723.48,53457.83,54108.16,47313.18,43603.42,32499.38,43839.39,43879.39,37328.11,38258.12,33658.6,47343.61,31789.47,37560.93,31459.65,37512.32,28990.58,47471.06,31020.47,37751.21,41253.42,36010.43,27752.77,34288.25,22997.02,58681.56,54434.765,43797.97,36294.485,4.56E+04,37793.115,34485.985,3.51E+04,6.46E-01,0.001981169
7-8-Dihydroxycoumarin,C03093,Other/Tentative assignments,177.0212,1.563808,228852.4,0,109313,192799.7,135841.4,212144,64038.59,0,0,0,0,116350.3,0,0,0,197981.6,0,337170,252134.3,97607.63,202207.4,170316.7,141436.4,293715.4,0,110876.5,232817.8,306797.2,177343.6,92937.51,211608.2,146649.9,60858.92,99172.05,97958,285524,166959.4,215417.5,163661.3,103057.8,237122.7,67839.77,141909.2,112043.6,48362.09,60149.27,51687.99,177527.1,47749.25,228852.4,0,98990.8,155876.55,1.94E+05,122910.975,152785.25,5.59E+04,#ΔΙΑΙΡ/0!,0.001416607
10-Hydroxydecanoic acid,C02774,Other/Tentative assignments,187.1329,6.669469,27081.33,0,17046.23,12386.17,7935.594,13502.22,11229.48,21914.92,17083.6,17146.45,0,13928.9,22792.09,0,8357.646,10508.99,31012.32,5681.788,81981.16,13872.7,13775.32,7245.119,11357.98,8782.79,19686.19,10007.32,13305.04,8716.303,0,19867.22,9988.905,0,15697.56,7642.801,14771.98,6365.593,13674.18,7576.974,7320.315,0,0,0,5334.627,6952.123,10108.54,6022.531,10186.41,6828.227,12695.16,27081.33,17115.025,9433.318,12566.65,1.00E+04,10658.4905,2667.3135,8.53E+03,4.98E-01,0.121201361
Protein 5-hydroxylysine,C03429,Other/Tentative assignments,186.0873,5.698173,14460.25,14552.69,12483.73,9045.708,6190.992,4713.654,5418.742,11823.31,14597.32,14480.01,14803.76,13899.71,12405.48,10613.02,13497.29,11099.34,14171.72,12152.11,11827.9,11910.48,9678.724,11031.02,10100.91,9313.622,8718.043,10404.19,7129.818,7753.646,8885.624,7326.4,7479.61,5377.934,5069.728,5583.4,5131.62,4847.321,5058.68,4929.394,5870.811,4822.05,6344.169,5704.013,5162.138,4604.051,4081.871,4882.685,5124.901,4125.618,5567.046,14460.25,14189.86,11990.005,9889.817,7.62E+03,5100.674,5433.0755,4.74E+03,3.34E-01,2.90E-05
trans-Homoaconitate,C16579,Other/Tentative assignments,189.0389,1.505378,12933.77,21708.7,8363.642,6212.686,4864.089,2735.616,7413.959,25512.05,17530.34,8932.569,20207.01,0,22880.57,24721.72,17732.54,3570.092,28830.26,0,28325.13,34617.41,0,4523.712,13379.44,0,0,0,5847.119,4901.153,48820.76,43059.91,0,6168.594,0,0,19949.15,0,8589.351,14176.3,3643.611,2099.28,3658.001,0,7391.416,8682.611,3743.805,0,3725.619,0,3784.203,12933.77,18868.675,21227.13,2261.856,5.37E+03,3084.297,3650.806,3.73E+03,1.98E-01,0.007370164
Oxalosuccinate,C05379,Other/Tentative assignments,191.0186,1.11244,29781.16,37015.26,39248.13,44279.62,45224.75,49278.46,34322.63,30385.45,38999.52,33236.63,36622.17,38530.43,30617.2,37344.7,38208.75,33017.29,26850.42,25581.88,33550.94,26456.97,25679.32,38401.6,21853.66,34327.59,39016.67,49468.93,27509.55,42587.44,37334.97,35197.5,36546.32,44254.89,41977.29,41536.61,37355.01,40512.39,37243.92,24101.65,42756.71,35497.14,44300.89,32595.49,45929.27,37153.64,35283.45,26236.9,31952.64,39037.14,37648.3,29781.16,34929.4,33284.115,30392.28,3.69E+04,41024.5,39126.925,3.62E+04,1.04E+00,0.944291337
N-Carbamyl-L-glutamate,C05829,Other/Tentative assignments,191.0656,1.405801,27391.18,23547.77,15269.7,20299.57,14048.65,16451.49,8681.071,84374.87,53975.29,34613.88,35437.71,20499.03,11245.29,28570.51,17992.1,13730.77,25471.05,24663.78,22016.21,32125.06,16422.89,28607.59,7456.807,27654.66,15584.35,42217.38,34632.64,32821.94,38691.92,26423.93,59058.47,27136.91,9128.058,16791.64,8740.308,51180.29,22897.8,20653.11,43746.38,17223.36,10863.01,28350.97,7510.9,14908.65,31551.54,15065.71,5515.531,9966.345,19246.01,27391.18,35025.795,23339.995,22038.775,3.67E+04,19844.72,18938.235,1.50E+04,4.28E-01,0.071871113
2-Oxo-7-methylthioheptanoic acid,C17220,Other/Tentative assignments,191.0761,1.045599,556976.3,0,559338.5,569153.7,674334.7,751793.8,658147.9,369176.1,395886.8,388681.9,368126.7,312405.8,348829.5,419085.3,401273.6,413962.5,374365.8,318315.7,414663.8,400553.5,433609.1,490057.5,395827.6,344376,407599.7,525689.9,550747.9,481684.8,392653.7,505986.2,366934.9,465418,548398.2,578083.3,485724,391765.5,382805.8,415942.1,527760.6,587614.2,517868.1,0,507747.8,477731.6,593712.5,580658.8,471748.7,370145.7,501939.2,556976.3,368651.4,407618.05,404076.6,4.94E+05,475571,512807.95,4.90E+05,1.33E+00,0.001813677
L-Homocitrulline,C02427,Other/Tentative assignments,188.0999,5.931659,17914.5,25466.41,27961.2,24895.12,25959.38,23877.67,22484.89,3196.283,20366.26,24896.86,30481.62,27972.82,28775.98,30002.09,31430.37,30356.7,24495.52,18522.83,32108.28,28077.14,24477.94,25144.78,22283.82,24737.29,24757.41,22751.11,23284.95,27841.02,26648.74,24903.34,21324.29,23464.94,23271.19,25573.37,23084.79,19797.04,22404.1,19278.71,21211.41,24022.38,24160.37,23295.74,19986.74,20449.04,27333.48,23839.77,21330.43,22453.88,19033.36,17914.5,26434.84,30179.395,24747.35,2.41E+04,23177.99,22253.575,2.19E+04,8.28E-01,0.96328654
Homomethionine,C17213,Other/Tentative assignments,164.0702,6.224186,20479.59,152747.5,138690.2,130865.6,115905,19153.43,135026.9,16331.89,14337.34,15734.55,16164.85,21786.33,5254.29,8868.19,19985,18739.8,19455.45,16438.74,73048.87,73048.87,93646.48,102575.2,134329.5,163563.8,132621.1,137446.4,143242.7,119520.6,158859.8,136210.8,134487,115839.1,231461.3,110774.2,145525,111180.1,120049.9,117330.4,163488.6,172899.5,152983.1,177696.1,121813.3,125829.7,175408.1,138551.2,138273.2,160819.2,118113.1,155055,15949.7,19097.625,117598.15,1.37E+05,117944.5,158235.85,1.38E+05,8.68E+00,1.59E-05
Acylglycerone phosphate,C03372,Other/Tentative assignments,195.9749,1.780877,1472314,858740.5,466128.9,300180.7,183609.9,99312.95,53779.36,1484360,1645368,1278036,1349212,1247056,1246249,827729.6,659026.9,768777.3,710683.2,655044.6,719705.8,373504.8,357382.1,427603.9,422215.4,381813.9,469693.8,258792,215178.8,0,249204.5,217112.9,238330.1,122700.3,102548,183292.3,142326.9,191912.1,185288.6,0,68763.16,84576.28,80688.01,125796.6,114220,15848.71,22375.22,5053.932,21755.96,11425.39,20823.6,1472314,1313624,715194.5,402014.65,2.28E+05,162809.6,82632.145,1.83E+04,1.40E-02,4.32E-06
