node1_id,node2_id,node1,node2,combined_score,neighborhood_score,coexpression_score,database_score,textmining_score
9606.ENSP00000363988,9606.ENSP00000344818,ALDOB,UBC,0.752,0.738,0.089,0.0,0.0
9606.ENSP00000270776,9606.ENSP00000229319,PGD,LDHB,0.75,0.07,0.389,0.595,0.0
-1.CID100005839,-1.CID153629505,aldosterone,androgen,0.743,0.743,0.0,0.0,0.0
9606.ENSP00000359991,9606.ENSP00000222286,PGAM1,GAPDHS,0.741,0.262,0.404,0.459,0.0
9606.ENSP00000270776,-1.CID100004139,PGD,methylene blue,0.739,0.7,0.158,0.0,0.0
9606.ENSP00000366620,-1.CID100000784,H6PD,hydrogen perox.,0.735,0.735,0.0,0.0,0.0
9606.ENSP00000366620,-1.CID100000076,H6PD,DHEA,0.729,0.117,0.702,0.0,0.0
9606.ENSP00000229239,9606.ENSP00000223366,GAPDH,GCK,0.728,0.076,0.717,0.0,0.0
9606.ENSP00000292432,9606.ENSP00000280704,HK3,LDHC,0.726,0.083,0.714,0.0,0.0
9606.ENSP00000321259,9606.ENSP00000252603,TALDO1,PGLS,0.725,0.462,0.182,0.425,0.0
9606.ENSP00000252603,-1.CID100001003,PGLS,phosphate,0.725,0.701,0.106,0.0,0.0
9606.ENSP00000405455,-1.CID100001003,TKT,phosphate,0.722,0.601,0.323,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000252603,GPI,PGLS,0.722,0.462,0.505,0.0,0.0
9606.ENSP00000292432,9606.ENSP00000229319,HK3,LDHB,0.721,0.083,0.708,0.0,0.0
9606.ENSP00000358931,9606.ENSP00000270776,TKTL1,PGD,0.721,0.265,0.203,0.563,0.0
-1.CID100002524,-1.CID153629505,calcitriol,androgen,0.717,0.717,0.0,0.0,0.0
9606.ENSP00000280704,9606.ENSP00000222286,LDHC,GAPDHS,0.714,0.157,0.675,0.0,0.0
9606.ENSP00000270776,9606.ENSP00000229239,PGD,GAPDH,0.711,0.08,0.699,0.0,0.0
9606.ENSP00000358931,9606.ENSP00000352401,TKTL1,RPE,0.711,0.284,0.14,0.253,0.447
9606.ENSP00000344818,9606.ENSP00000342032,UBC,BPGM,0.71,0.71,0.0,0.0,0.0
9606.ENSP00000405455,-1.CID100000753,TKT,glycerol,0.709,0.601,0.291,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000280704,HK1,LDHC,0.706,0.083,0.692,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000229319,HK1,LDHB,0.704,0.083,0.69,0.0,0.0
9606.ENSP00000360124,-1.CID100001003,PGM1,phosphate,0.704,0.618,0.246,0.0,0.0
9606.ENSP00000280605,9606.ENSP00000270776,TKTL2,PGD,0.703,0.265,0.203,0.534,0.0
9606.ENSP00000366620,-1.CID100000753,H6PD,glycerol,0.703,0.601,0.277,0.0,0.0
